Name,Age,Tm,Lg_bat,G_bat,PA,AB,R_bat,H_bat,2B,3B,HR_bat,RBI,SB,CS,BB_bat,SO_bat,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_bat,SH,SF,IBB_bat,Pos Summary,Bats,Lg_pit,W,L,W-L%,ERA,G_pit,GS,GF,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Throws,Tm_fld,Lg,G,GS_fld,CG_fld,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary_fld,Tm_cat,Lg_cat,G_cat,GS_cat,CG_cat,Inn_cat,Ch_cat,PO_cat,A_cat,E_cat,DP_cat,Fld%_cat,Rtot_cat,Rtot/yr_cat,Rctch,RF/9_cat,RF/G_cat,PB,WP_cat,SB_cat,CS_cat,CS%,Rk,Tm_app,Yrs,G_app,GS_app,Batting,Defense,P,C,1B,2B_app,3B_app,SS,LF,CF,RF,OF,DH,PH,PR
Pat Sheridan,28,DET,AL,98,262,236,41,56,9,1,6,19,9,2,21,57,.237,.300,.360,.660,79,85,3,1,2,2,4,89H7/D,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,AL,90,67,50,616.0,177,172,1,4,0,.977,1,2,2.53,1.92,OF,,,,,,,,,,,,,,,,,,,,,,,785,DET,5,98,67,98,90,0,0,0,0,0,0,11,51,32,90,5,5,13
Steve Shields,27,TOT,MLB,6,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,R,MLB,0,0,,5.06,9,0,4,0,0,0,21.1,16,13,12,5,11,1,8,0,0,1,88,83,6.61,1.266,6.8,2.1,4.6,3.4,0.73,R,TOT,ZZ,9,0,0,21.1,4,2,2,0,0,1.000,,,1.69,0.44,P,,,,,,,,,,,,,,,,,,,,,,,786,2TM,2,9,0,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0
Steve Shields,27,ATL,NL,6,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,R,NL,0,0,,7.11,6,0,2,0,0,0,12.2,13,10,10,4,7,0,6,0,0,0,55,57,7.59,1.579,9.2,2.8,5.0,4.3,0.86,R,TOT,ZZ,9,0,0,21.1,4,2,2,0,0,1.000,,,1.69,0.44,P,,,,,,,,,,,,,,,,,,,,,,,786,2TM,2,9,0,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0
Craig Shipley,23,LAD,NL,12,31,27,3,3,1,0,0,4,0,0,2,5,.111,.200,.148,.348,1,4,1,1,1,0,1,6/45H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD,NL,12,10,5,76.2,37,16,18,3,4,.919,-3,-52,3.99,2.83,SS-3B-2B,,,,,,,,,,,,,,,,,,,,,,,787,LAD,1st,12,10,12,12,0,0,0,1,1,10,0,0,0,0,0,0,1
Eric Show,30,SDP,NL,24,47,43,2,7,2,0,0,1,0,0,1,14,.163,.182,.209,.391,9,9,0,0,3,0,0,1,R,NL,9,5,.643,2.97,24,22,1,2,0,0,136.1,109,47,45,11,69,4,94,4,2,3,569,123,4.05,1.306,7.2,0.7,4.6,6.2,1.36,R,SDP,NL,24,22,2,136.1,21,6,14,1,1,.952,,,1.32,0.83,P,,,,,,,,,,,,,,,,,,,,,,,789,SDP,6,24,22,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Sierra,20,TEX,AL,113,411,382,50,101,13,10,16,55,7,8,22,65,.264,.302,.476,.779,107,182,8,1,1,5,3,978/HD,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEX,AL,107,93,70,880.1,213,200,7,6,1,.972,6,8,2.12,1.93,OF,,,,,,,,,,,,,,,,,,,,,,,790,TEX,1st,113,93,113,108,0,0,0,0,0,0,44,21,68,108,2,6,0
Ted Simmons,36,ATL,NL,76,144,127,14,32,5,0,4,25,1,0,12,14,.252,.313,.386,.698,88,49,1,1,0,4,5,H32/5,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,NL,33,18,14,189.2,191,167,18,6,13,.969,-6,-40,8.78,5.61,1B-C-3B,ATL,NL,10,6,5,59.2,46,40,5,1,0,.978,-2,-40,-2,6.79,4.50,2,0,14,2,13%,791,ATL,19,76,18,76,32,0,10,14,0,9,0,0,0,0,0,0,54,0
Doug Sisk,28,NYM,NL,41,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,R,NL,4,2,.667,3.06,41,0,15,0,0,1,70.2,77,31,24,0,31,5,31,5,1,2,312,118,3.42,1.528,9.8,0.0,3.9,3.9,1.00,R,NYM,NL,41,0,0,70.2,16,10,6,0,0,1.000,,,2.04,0.39,P,,,,,,,,,,,,,,,,,,,,,,,792,NYM,5,41,0,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0
Joel Skinner,25,TOT,AL,114,336,315,23,73,9,1,5,37,1,4,16,83,.232,.269,.314,.584,58,99,6,1,2,2,0,*2,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,AL,114,100,65,863.2,553,507,37,9,9,.984,2,3,5.67,4.77,C,TOT,MLB,114,100,65,863.2,553,507,37,9,9,.984,2,3,2,5.67,4.77,4,26,48,27,36%,793,2TM,4,114,100,114,114,0,114,0,0,0,0,0,0,0,0,0,0,0
Joel Skinner,25,CHW,AL,60,162,149,17,30,5,1,4,20,1,0,9,43,.201,.250,.329,.579,54,49,2,1,2,1,0,2,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,AL,114,100,65,863.2,553,507,37,9,9,.984,2,3,5.67,4.77,C,TOT,MLB,114,100,65,863.2,553,507,37,9,9,.984,2,3,2,5.67,4.77,4,26,48,27,36%,793,2TM,4,114,100,114,114,0,114,0,0,0,0,0,0,0,0,0,0,0
Joel Skinner,25,NYY,AL,54,174,166,6,43,4,0,1,17,0,4,7,40,.259,.287,.301,.589,62,50,4,0,0,1,0,2,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,AL,114,100,65,863.2,553,507,37,9,9,.984,2,3,5.67,4.77,C,TOT,MLB,114,100,65,863.2,553,507,37,9,9,.984,2,3,2,5.67,4.77,4,26,48,27,36%,793,2TM,4,114,100,114,114,0,114,0,0,0,0,0,0,0,0,0,0,0
Jim Slaton,36,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,R,AL,4,6,.400,5.08,36,12,13,0,0,2,113.1,130,70,64,14,40,4,43,3,0,2,497,82,4.76,1.500,10.3,1.1,3.2,3.4,1.08,R,TOT,AL,36,12,0,113.1,31,13,18,0,2,1.000,,,2.46,0.86,P,,,,,,,,,,,,,,,,,,,,,,,794,2TM,16,36,12,1,36,36,0,0,0,0,0,0,0,0,0,0,0,0
Jim Slaton,36,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,R,AL,0,0,,4.05,22,0,12,0,0,2,40.0,46,18,18,5,11,3,12,1,0,1,174,103,4.70,1.425,10.4,1.1,2.5,2.7,1.09,R,TOT,AL,36,12,0,113.1,31,13,18,0,2,1.000,,,2.46,0.86,P,,,,,,,,,,,,,,,,,,,,,,,794,2TM,16,36,12,1,36,36,0,0,0,0,0,0,0,0,0,0,0,0
Don Slaught,27,TEX,AL,95,341,314,39,83,17,1,13,46,3,2,16,59,.264,.308,.449,.757,102,141,8,5,3,3,0,2/HD,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEX,AL,91,85,70,720.1,577,533,40,4,1,.993,-13,-22,7.16,6.30,C,TEX,AL,91,85,70,720.1,577,533,40,4,1,.993,-13,-22,-13,7.16,6.30,13,48,88,27,23%,795,TEX,5,95,87,95,91,0,91,0,0,0,0,0,0,0,0,2,3,1
Roy Smalley,33,MIN,AL,143,530,459,59,113,20,4,20,57,1,3,68,80,.246,.342,.438,.780,110,201,10,0,1,2,4,*DH6/5,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,AL,27,12,10,126.0,49,14,34,1,5,.980,-1,-9,3.43,1.78,SS-3B,,,,,,,,,,,,,,,,,,,,,,,796,MIN,12,143,116,143,26,0,0,0,0,8,19,0,0,0,0,114,24,1
John Smiley,21,PIT,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,L,NL,1,0,1.000,3.86,12,0,2,0,0,0,11.2,4,6,5,2,4,0,9,0,0,0,42,103,4.49,0.686,3.1,1.5,3.1,6.9,2.25,L,PIT,NL,12,0,0,11.2,3,1,2,0,0,1.000,,,2.31,0.25,P,,,,,,,,,,,,,,,,,,,,,,,797,PIT,1st,12,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
Bryn Smith,30,MON,NL,30,67,58,3,8,1,0,1,7,0,0,4,17,.138,.194,.207,.400,11,12,0,0,5,0,0,1,R,NL,10,8,.556,3.94,30,30,0,1,0,0,187.1,182,101,82,15,63,6,105,6,2,4,807,95,3.80,1.308,8.7,0.7,3.0,5.0,1.67,R,MON,NL,30,30,1,187.1,57,11,44,2,5,.965,,,2.64,1.83,P,,,,,,,,,,,,,,,,,,,,,,,798,MON,6,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0
Dave Smith,31,HOU,NL,54,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,R,NL,4,7,.364,2.73,54,0,51,0,0,33,56.0,39,17,17,5,22,3,46,1,0,2,223,132,3.52,1.089,6.3,0.8,3.5,7.4,2.09,R,HOU,NL,54,0,0,56.0,13,7,6,0,0,1.000,,,2.09,0.24,P,,,,,,,,,,,,,,,,,,,,,,,799,HOU,7,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0
Lee Smith,28,CHC,NL,66,5,5,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,R,NL,9,9,.500,3.09,66,0,59,0,0,31,90.1,69,32,31,7,42,11,93,0,0,2,372,131,3.11,1.229,6.9,0.7,4.2,9.3,2.21,R,CHC,NL,66,0,0,90.1,13,1,12,0,2,1.000,,,1.30,0.20,P,,,,,,,,,,,,,,,,,,,,,,,800,CHC,7,66,0,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0
Lonnie Smith,30,KCR,AL,134,568,508,80,146,25,7,8,44,26,9,46,78,.287,.357,.411,.768,108,209,10,10,2,2,0,*7D/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCR,AL,118,118,73,967.0,259,245,5,9,1,.965,0,0,2.33,2.12,OF,,,,,,,,,,,,,,,,,,,,,,,801,KCR,9,134,128,134,118,0,0,0,0,0,0,118,0,0,118,10,4,2
Mike Smith,25,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,R,NL,0,0,,13.50,2,1,1,0,0,0,3.1,7,5,5,0,1,0,1,0,0,0,18,32,3.07,2.400,18.9,0.0,2.7,2.7,1.00,R,CIN,NL,2,1,0,3.1,0,0,0,0,0,,,,0.00,0.00,P,,,,,,,,,,,,,,,,,,,,,,,802,CIN,3,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Ozzie Smith,31,STL,NL,153,609,514,67,144,19,4,0,54,31,7,79,27,.280,.376,.333,.709,98,171,9,2,11,3,13,*6/H,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,NL,144,144,132,1287.0,697,229,453,15,96,.978,16,15,4.77,4.74,SS,,,,,,,,,,,,,,,,,,,,,,,803,STL,9,153,144,153,144,0,0,0,0,0,144,0,0,0,0,0,9,0
