Name,Age,Tm,Lg_bat,G_bat,PA,AB,R_bat,H_bat,2B,3B,HR_bat,RBI,SB,CS,BB_bat,SO_bat,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_bat,SH,SF,IBB_bat,Pos Summary,Bats,Lg_pit,W,L,W-L%,ERA,G_pit,GS,GF,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Throws,Tm_fld,Lg,G,GS_fld,CG_fld,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary_fld,Tm_cat,Lg_cat,G_cat,GS_cat,CG_cat,Inn_cat,Ch_cat,PO_cat,A_cat,E_cat,DP_cat,Fld%_cat,Rtot_cat,Rtot/yr_cat,Rctch,RF/9_cat,RF/G_cat,PB,WP_cat,SB_cat,CS_cat,CS%,Rk,Tm_app,Yrs,G_app,GS_app,Batting,Defense,P,C,1B,2B_app,3B_app,SS,LF,CF,RF,OF,DH,PH,PR
Jose DeLeon,25,TOT,MLB,9,2,1,0,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500,50,0,0,1,0,0,0,1,R,MLB,5,8,.385,3.87,22,14,5,1,0,1,95.1,66,46,41,9,59,3,79,5,0,7,408,111,4.35,1.311,6.2,0.8,5.6,7.5,1.34,R,TOT,ZZ,22,14,1,95.1,21,6,14,1,2,.952,,,1.89,0.91,P,,,,,,,,,,,,,,,,,,,,,,,208,2TM,4,22,14,9,22,22,0,0,0,0,0,0,0,0,0,0,0,0
Jose DeLeon,25,PIT,NL,9,2,1,0,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500,50,0,0,1,0,0,0,/1,R,NL,1,3,.250,8.27,9,1,5,0,0,1,16.1,17,16,15,2,17,3,11,1,0,1,83,48,6.32,2.082,9.4,1.1,9.4,6.1,0.65,R,TOT,ZZ,22,14,1,95.1,21,6,14,1,2,.952,,,1.89,0.91,P,,,,,,,,,,,,,,,,,,,,,,,208,2TM,4,22,14,9,22,22,0,0,0,0,0,0,0,0,0,0,0,0
Rick Dempsey,36,BAL,AL,122,382,327,42,68,15,1,13,29,1,0,45,78,.208,.309,.379,.689,88,124,5,3,7,0,0,*2H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAL,AL,121,101,84,922.1,719,659,53,7,9,.990,5,7,6.95,5.88,C,BAL,AL,121,101,84,922.1,719,659,53,7,9,.990,5,7,5,6.95,5.88,2,27,68,34,33%,209,BAL,18,122,101,122,121,0,121,0,0,0,0,0,0,0,0,0,10,1
John Denny,33,CIN,NL,27,62,54,6,12,0,0,0,4,2,3,3,15,.222,.263,.222,.485,34,12,1,0,5,0,0,1,R,NL,11,10,.524,4.20,27,27,0,2,1,0,171.1,179,89,80,15,56,9,115,4,1,2,731,92,3.62,1.372,9.4,0.8,2.9,6.0,2.05,R,CIN,NL,27,27,2,171.1,58,16,40,2,2,.966,,,2.94,2.07,P,,,,,,,,,,,,,,,,,,,,,,,210,CIN,13,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0
Bob Dernier,29,CHC,NL,108,351,324,32,73,14,1,4,18,27,2,22,41,.225,.275,.312,.586,57,101,7,0,5,0,1,8H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHC,NL,105,82,63,758.2,228,222,3,3,2,.987,-5,-8,2.67,2.14,OF,,,,,,,,,,,,,,,,,,,,,,,211,CHC,7,108,82,108,105,0,0,0,0,0,0,0,105,0,105,0,2,8
Jim Deshaies,26,HOU,NL,26,53,43,3,2,0,0,0,1,0,0,6,31,.047,.163,.047,.210,-38,2,0,0,4,0,0,1,L,NL,12,5,.706,3.25,26,26,0,1,1,0,144.0,124,58,52,16,59,2,128,2,7,0,599,110,3.71,1.271,7.8,1.0,3.7,8.0,2.17,L,HOU,NL,26,26,1,144.0,24,9,13,2,0,.917,,,1.38,0.85,P,,,,,,,,,,,,,,,,,,,,,,,212,HOU,3,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0
Bo Diaz,33,CIN,NL,134,519,474,50,129,21,0,10,56,1,1,40,52,.272,.327,.380,.707,92,180,11,0,2,3,0,*2/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIN,NL,134,129,107,1119.1,828,732,83,13,10,.984,5,5,6.55,6.08,C,CIN,NL,134,129,107,1119.1,828,732,83,13,10,.984,5,5,5,6.55,6.08,12,25,101,55,35%,213,CIN,10,134,129,134,134,0,134,0,0,0,0,0,0,0,0,0,1,0
Carlos Diaz,28,LAD,NL,19,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,R,NL,0,0,,4.26,19,0,9,0,0,0,25.1,33,14,12,2,7,2,18,0,0,2,113,83,3.21,1.579,11.7,0.7,2.5,6.4,2.57,L,LAD,NL,19,0,0,25.1,8,1,6,1,0,.875,,,2.49,0.37,P,,,,,,,,,,,,,,,,,,,,,,,214,LAD,5,19,0,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0
Edgar Diaz,22,MIL,AL,5,14,13,0,3,0,0,0,0,0,0,1,3,.231,.286,.231,.516,42,3,0,0,0,0,0,/6,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,AL,5,5,4,40.0,16,6,8,2,2,.875,-3,-90,3.15,2.80,SS,,,,,,,,,,,,,,,,,,,,,,,215,MIL,1st,5,5,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0
Mike Diaz,26,PIT,NL,97,233,209,22,56,9,0,12,36,0,1,19,43,.268,.330,.483,.814,120,101,5,2,0,3,0,H73/529,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,NL,64,52,12,381.2,213,202,8,3,9,.986,-3,-8,4.95,3.28,OF-1B-3B-C,PIT,NL,1,0,0,1.0,2,1,1,0,0,1.000,0,0,0,18.00,2.00,0,0,0,0,,216,PIT,2,97,52,97,63,0,1,20,0,5,0,37,0,1,38,0,40,0
Frank DiPino,29,TOT,NL,61,6,6,0,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,-7,1,1,0,0,0,0,1,L,NL,3,7,.300,4.37,61,0,26,0,0,3,80.1,74,45,39,11,30,6,70,2,0,3,345,88,4.00,1.295,8.3,1.2,3.4,7.8,2.33,L,TOT,NL,61,0,0,80.1,26,8,17,1,1,.962,,,2.80,0.41,P,,,,,,,,,,,,,,,,,,,,,,,217,2TM,6,61,0,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0
Frank DiPino,29,HOU,NL,31,5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,12,1,1,0,0,0,0,1,L,NL,1,3,.250,3.57,31,0,14,0,0,3,40.1,27,18,16,5,16,1,27,2,0,0,167,101,4.38,1.066,6.0,1.1,3.6,6.0,1.69,L,TOT,NL,61,0,0,80.1,26,8,17,1,1,.962,,,2.80,0.41,P,,,,,,,,,,,,,,,,,,,,,,,217,2TM,6,61,0,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0
Frank DiPino,29,CHC,NL,30,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,L,NL,2,4,.333,5.18,30,0,12,0,0,0,40.0,47,27,23,6,14,5,43,0,0,3,178,78,3.62,1.525,10.6,1.4,3.2,9.7,3.07,L,TOT,NL,61,0,0,80.1,26,8,17,1,1,.962,,,2.80,0.41,P,,,,,,,,,,,,,,,,,,,,,,,217,2TM,6,61,0,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0
Benny Distefano,24,PIT,NL,31,42,39,3,7,1,0,1,5,0,0,1,5,.179,.190,.282,.473,28,11,0,0,0,2,0,H/93,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,NL,10,5,3,45.1,13,13,0,0,0,1.000,0,11,2.58,1.30,OF-1B,,,,,,,,,,,,,,,,,,,,,,,218,PIT,2,31,5,31,10,0,0,1,0,0,0,0,0,9,9,0,24,0
Tom Dodd,27,BAL,AL,8,16,13,1,3,0,0,1,2,0,0,2,2,.231,.375,.462,.837,129,6,1,1,0,0,0,/HD5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAL,AL,1,0,0,4.1,0,0,0,0,0,,0,-55,0.00,0.00,3B,,,,,,,,,,,,,,,,,,,,,,,220,BAL,1st,8,1,8,1,0,0,0,0,1,0,0,0,0,0,6,7,0
Pat Dodson,26,BOS,AL,9,15,12,3,5,2,0,1,3,0,0,3,3,.417,.533,.833,1.367,266,10,0,0,0,0,0,/3H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,AL,7,2,2,28.0,26,25,1,0,6,1.000,-1,-39,8.36,3.71,1B,,,,,,,,,,,,,,,,,,,,,,,221,BOS,1st,9,2,9,7,0,0,7,0,0,0,0,0,0,0,0,2,0
Bill Doran,28,HOU,NL,145,642,550,92,152,29,3,6,37,42,19,81,57,.276,.368,.373,.741,108,205,10,2,4,5,7,*4/H,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOU,NL,144,143,130,1244.2,607,262,329,16,62,.974,-4,-4,4.27,4.10,2B,,,,,,,,,,,,,,,,,,,,,,,222,HOU,5,145,143,145,144,0,0,0,144,0,0,0,0,0,0,0,2,0
Brian Downing,35,CAL,AL,152,631,513,90,137,27,4,20,95,4,4,90,84,.267,.389,.452,.841,130,232,14,17,3,8,2,*7DH,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL,AL,138,133,103,1147.2,275,267,5,3,0,.989,0,0,2.13,1.97,OF,,,,,,,,,,,,,,,,,,,,,,,224,CAL,14,152,142,152,138,0,0,0,0,0,0,138,0,0,138,10,10,0
Kelly Downs,25,SFG,NL,15,30,29,1,5,0,0,0,0,0,1,1,13,.172,.200,.172,.372,6,5,0,0,0,0,0,1/H,R,NL,4,4,.500,2.75,14,14,0,1,0,0,88.1,78,29,27,5,30,7,64,3,2,3,372,129,3.18,1.223,7.9,0.5,3.1,6.5,2.13,R,SFG,NL,14,14,1,88.1,20,6,13,1,0,.950,,,1.94,1.36,P,,,,,,,,,,,,,,,,,,,,,,,225,SFG,1st,15,14,15,14,14,0,0,0,0,0,0,0,0,0,0,0,1
Dave Dravecky,30,SDP,NL,35,57,50,3,7,0,0,1,7,1,0,1,16,.140,.157,.200,.357,-1,10,1,0,6,0,0,1/H,R,NL,9,11,.450,3.07,26,26,0,3,1,0,161.1,149,68,55,17,54,7,87,1,1,0,677,119,4.09,1.258,8.3,0.9,3.0,4.9,1.61,L,SDP,NL,26,26,3,161.1,38,10,27,1,0,.974,,,2.06,1.42,P,,,,,,,,,,,,,,,,,,,,,,,228,SDP,5,35,26,35,26,26,0,0,0,0,0,0,0,0,0,0,0,9
Dan Driessen,34,TOT,NL,32,49,40,7,10,3,0,1,3,0,0,9,6,.250,.388,.400,.788,122,16,0,0,0,0,2,H3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,NL,16,6,6,83.2,83,77,6,0,5,1.000,1,10,8.93,5.19,1B,,,,,,,,,,,,,,,,,,,,,,,229,2TM,14,32,6,32,16,0,0,16,0,0,0,0,0,0,0,0,17,0
Dan Driessen,34,SFG,NL,15,20,16,2,3,2,0,0,0,0,0,4,4,.188,.350,.313,.663,89,5,0,0,0,0,1,H/3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,NL,16,6,6,83.2,83,77,6,0,5,1.000,1,10,8.93,5.19,1B,,,,,,,,,,,,,,,,,,,,,,,229,2TM,14,32,6,32,16,0,0,16,0,0,0,0,0,0,0,0,17,0
Dan Driessen,34,HOU,NL,17,29,24,5,7,1,0,1,3,0,0,5,2,.292,.414,.458,.872,144,11,0,0,0,0,1,3/H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,NL,16,6,6,83.2,83,77,6,0,5,1.000,1,10,8.93,5.19,1B,,,,,,,,,,,,,,,,,,,,,,,229,2TM,14,32,6,32,16,0,0,16,0,0,0,0,0,0,0,0,17,0
Mariano Duncan,23,LAD,NL,109,445,407,47,93,7,0,8,30,48,13,30,78,.229,.284,.305,.589,68,124,6,2,5,1,1,6/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD,NL,106,105,97,926.2,514,172,317,25,46,.951,-15,-20,4.75,4.61,SS,,,,,,,,,,,,,,,,,,,,,,,230,LAD,2,109,106,109,105,0,0,0,0,0,105,0,0,0,0,0,3,0
Shawon Dunston,23,CHC,NL,150,611,581,66,145,37,3,17,68,13,11,21,114,.250,.278,.411,.690,83,239,5,3,4,2,5,*6/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHC,NL,149,148,137,1312.2,817,320,465,32,96,.961,-4,-3,5.38,5.27,SS,,,,,,,,,,,,,,,,,,,,,,,231,CHC,2,150,148,150,149,0,0,0,0,0,149,0,0,0,0,0,2,0
Leon Durham,28,CHC,NL,141,557,484,66,127,18,7,20,65,8,7,67,98,.262,.350,.452,.803,114,219,6,1,0,5,16,*3/H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHC,NL,141,133,118,1178.1,1318,1231,80,7,101,.995,-8,-9,10.01,9.30,1B,,,,,,,,,,,,,,,,,,,,,,,232,CHC,7,141,133,141,141,0,0,141,0,0,0,0,0,0,0,0,3,2
Jim Dwyer,36,BAL,AL,94,189,160,18,39,13,1,8,31,0,2,23,31,.244,.339,.488,.826,124,78,2,2,0,4,1,HD9/73,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAL,AL,25,15,8,130.2,37,33,4,0,1,1.000,0,-1,2.55,1.48,OF-1B,,,,,,,,,,,,,,,,,,,,,,,233,BAL,14,94,35,94,25,0,0,1,0,0,0,8,0,16,24,24,56,0
Lenny Dykstra,23,NYM,NL,147,498,431,77,127,27,7,8,45,31,7,58,55,.295,.377,.445,.822,129,192,4,0,7,2,1,*8H/7,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYM,NL,139,98,84,957.2,294,283,8,3,2,.990,4,5,2.73,2.09,OF,,,,,,,,,,,,,,,,,,,,,,,234,NYM,2,147,98,147,139,0,0,0,0,0,0,1,138,0,139,0,16,5
Bill Earley,30,STL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,R,NL,0,0,,0.00,3,0,2,0,0,0,3.0,0,0,0,0,2,0,2,0,0,0,11,,3.44,0.667,0.0,0.0,6.0,6.0,1.00,L,STL,NL,3,0,0,3.0,0,0,0,0,0,,,,0.00,0.00,P,,,,,,,,,,,,,,,,,,,,,,,235,STL,1st,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Mike Easler,35,NYY,AL,146,546,490,64,148,26,2,14,78,3,2,49,87,.302,.362,.449,.811,121,220,17,0,2,5,13,*DH/79,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYY,AL,11,9,5,80.0,24,23,0,1,0,.958,1,11,2.59,2.09,OF,,,,,,,,,,,,,,,,,,,,,,,236,NYY,13,146,124,146,11,0,0,0,0,0,0,8,0,3,11,130,22,0
Dennis Eckersley,31,CHC,NL,33,73,69,7,11,3,0,2,10,0,0,1,34,.159,.169,.290,.459,21,20,0,0,2,1,0,1,R,NL,6,11,.353,4.57,33,32,0,1,0,0,201.0,226,109,102,21,43,3,137,3,5,2,862,88,3.45,1.338,10.1,0.9,1.9,6.1,3.19,R,CHC,NL,33,32,1,201.0,47,16,28,3,3,.936,,,1.97,1.33,P,,,,,,,,,,,,,,,,,,,,,,,238,CHC,12,33,32,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0
Mark Eichhorn,25,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,R,AL,14,6,.700,1.72,69,0,38,0,0,10,157.0,105,32,30,8,45,14,166,7,1,2,612,246,2.31,0.955,6.0,0.5,2.6,9.5,3.69,R,TOR,AL,69,0,0,157.0,37,16,21,0,1,1.000,,,2.12,0.54,P,,,,,,,,,,,,,,,,,,,,,,,239,TOR,2,69,0,1,69,69,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Elster,21,NYM,NL,19,33,30,3,5,1,0,0,0,0,0,3,8,.167,.242,.200,.442,25,6,0,0,0,0,1,6,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYM,NL,19,9,6,91.1,53,16,35,2,6,.962,2,22,5.03,2.68,SS,,,,,,,,,,,,,,,,,,,,,,,240,NYM,1st,19,9,19,19,0,0,0,0,0,19,0,0,0,0,0,0,0
Dave Engle,29,DET,AL,35,93,86,6,22,7,0,0,4,0,0,7,13,.256,.312,.337,.649,77,29,2,0,0,0,0,3/DH279,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,AL,30,22,14,196.2,199,185,14,0,20,1.000,1,6,9.11,6.63,1B-C-OF,DET,AL,3,1,1,13.0,12,11,1,0,0,1.000,0,0,0,8.31,4.00,0,1,2,1,33%,241,DET,6,35,27,35,29,0,3,23,0,0,0,2,0,2,4,5,5,0
Nick Esasky,26,CIN,NL,102,383,330,35,76,17,2,12,41,0,2,47,97,.230,.325,.403,.728,97,133,8,1,1,4,0,37/H5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIN,NL,113,90,59,795.1,623,585,33,5,44,.992,2,3,6.99,5.47,1B-OF-3B,,,,,,,,,,,,,,,,,,,,,,,242,CIN,4,102,90,102,96,0,0,71,0,1,0,42,0,0,42,0,6,2
Juan Espino,30,NYY,AL,27,40,37,1,6,2,0,0,5,0,0,2,9,.162,.200,.216,.416,14,8,0,0,0,1,0,2/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYY,AL,27,9,7,106.0,79,72,6,1,0,.987,-3,-34,6.62,2.89,C,NYY,AL,27,9,7,106.0,79,72,6,1,0,.987,-3,-34,-3,6.62,2.89,2,10,9,2,18%,243,NYY,4,27,9,27,27,0,27,0,0,0,0,0,0,0,0,0,1,0
Alvaro Espinoza,24,MIN,AL,37,45,42,4,9,1,0,0,1,0,1,1,10,.214,.233,.238,.471,28,10,0,0,2,0,0,46/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIN,AL,37,16,3,149.1,79,23,52,4,11,.949,-2,-13,4.52,2.03,2B-SS,,,,,,,,,,,,,,,,,,,,,,,244,MIN,3,37,16,37,35,0,0,0,19,0,18,0,0,0,0,0,1,3
Darrell Evans,39,DET,AL,151,601,507,78,122,15,0,29,85,3,2,91,105,.241,.356,.442,.798,116,224,6,1,0,2,5,3DH/5,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,AL,107,99,88,875.0,920,809,109,2,85,.998,13,18,9.44,8.58,1B-3B,,,,,,,,,,,,,,,,,,,,,,,245,DET,18,151,139,151,107,0,0,105,0,2,0,0,0,0,0,42,12,0
Dwight Evans,34,BOS,AL,152,640,529,86,137,33,2,26,97,3,3,97,117,.259,.376,.476,.853,131,252,11,6,2,6,4,*9/HD,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,AL,149,149,132,1282.0,295,280,10,5,3,.983,8,8,2.04,1.95,OF,,,,,,,,,,,,,,,,,,,,,,,246,BOS,15,152,150,152,149,0,0,0,0,0,0,0,0,149,149,1,2,0
Stan Fansler,21,PIT,NL,5,7,6,0,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,-8,1,0,0,1,0,0,/1,R,NL,0,3,.000,3.75,5,5,0,0,0,0,24.0,20,12,10,2,15,0,13,0,0,0,99,104,4.65,1.458,7.5,0.8,5.6,4.9,0.87,R,PIT,NL,5,5,0,24.0,6,5,1,0,1,1.000,,,2.25,1.20,P,,,,,,,,,,,,,,,,,,,,,,,247,PIT,1st,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Mike Felder,24,MIL,AL,44,174,155,24,37,2,4,1,13,16,2,13,16,.239,.289,.323,.612,65,50,2,0,1,5,1,7/89HD,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,AL,42,38,36,348.0,98,98,0,0,0,1.000,4,14,2.53,2.33,OF,,,,,,,,,,,,,,,,,,,,,,,249,MIL,2,44,39,44,42,0,0,0,0,0,0,30,7,6,42,1,0,4
Sid Fernandez,23,NYM,NL,32,77,68,6,11,3,0,0,4,1,0,3,23,.162,.197,.206,.403,13,14,2,0,6,0,0,1,L,NL,16,6,.727,3.52,32,31,1,2,1,1,204.1,161,82,80,13,91,1,200,2,0,6,855,102,3.01,1.233,7.1,0.6,4.0,8.8,2.20,L,NYM,NL,32,31,2,204.1,22,3,18,1,1,.955,,,0.92,0.66,P,,,,,,,,,,,,,,,,,,,,,,,250,NYM,4,32,31,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0
Tony Fernandez,24,TOR,AL,163,727,687,91,213,33,9,10,65,25,12,27,52,.310,.338,.428,.766,105,294,8,4,5,4,0,*6/H,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR,AL,163,162,151,1443.0,752,294,445,13,103,.983,4,3,4.61,4.53,SS,,,,,,,,,,,,,,,,,,,,,,,251,TOR,4,163,162,163,163,0,0,0,0,0,163,0,0,0,0,0,1,0
Cecil Fielder,22,TOR,AL,34,90,83,7,13,2,0,4,13,0,0,6,27,.157,.222,.325,.548,45,27,3,1,0,0,0,DH/357,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR,AL,10,5,2,45.0,42,37,4,1,3,.976,-1,-13,8.20,4.10,1B-OF-3B,,,,,,,,,,,,,,,,,,,,,,,252,TOR,2,34,20,34,10,0,0,7,0,2,0,1,0,0,1,22,11,0
Bruce Fields,25,DET,AL,16,47,43,4,12,1,1,0,6,1,1,1,6,.279,.283,.349,.631,71,15,0,0,1,2,0,7/HD,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,AL,14,11,9,99.2,26,25,0,1,0,.962,0,1,2.26,1.79,OF,,,,,,,,,,,,,,,,,,,,,,,253,DET,1st,16,11,16,14,0,0,0,0,0,0,14,0,0,14,1,3,1
Jack Fimple,27,LAD,NL,13,20,13,2,1,0,0,0,2,0,0,6,6,.077,.350,.077,.427,29,1,0,0,0,1,1,/2H34,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD,NL,9,4,2,41.2,34,30,4,0,0,1.000,0,-9,7.34,3.78,C-1B-2B,LAD,NL,7,4,2,38.0,33,29,4,0,0,1.000,0,0,0,7.82,4.71,1,1,3,2,40%,255,LAD,3,13,4,13,9,0,7,1,1,0,0,0,0,0,0,0,4,0
Chuck Finley,23,CAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,L,AL,3,1,.750,3.30,25,0,7,0,0,0,46.1,40,17,17,2,23,1,37,1,0,2,198,125,3.29,1.360,7.8,0.4,4.5,7.2,1.61,L,CAL,AL,25,0,0,46.1,16,8,8,0,1,1.000,,,3.11,0.64,P,,,,,,,,,,,,,,,,,,,,,,,256,CAL,1st,25,0,2,25,25,0,0,0,0,0,0,0,0,0,0,0,0
Mike Fischlin,30,NYY,AL,71,116,102,9,21,2,0,0,3,0,1,8,29,.206,.261,.225,.487,35,23,3,0,5,1,0,64/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYY,AL,69,35,21,337.2,177,63,107,7,18,.960,-2,-7,4.53,2.46,SS-2B,,,,,,,,,,,,,,,,,,,,,,,259,NYY,9,71,35,71,69,0,0,0,27,0,42,0,0,0,0,0,0,5
Carlton Fisk,38,CHW,AL,125,491,457,42,101,11,0,14,63,2,4,22,92,.221,.263,.337,.600,60,154,10,6,0,6,2,27D/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHW,AL,102,94,81,823.1,507,455,44,8,3,.984,-4,-5,5.45,4.89,C-OF,CHW,AL,71,65,57,563.1,432,389,39,4,3,.991,-2,-4,-2,6.84,6.03,8,24,56,23,29%,261,CHW,17,125,115,125,98,0,71,0,0,0,0,31,0,0,31,22,8,0
Mike Fitzgerald,25,MON,NL,73,243,209,20,59,13,1,6,37,3,2,27,34,.282,.364,.440,.804,122,92,4,1,4,2,6,2/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MON,NL,71,60,53,540.1,453,415,35,3,5,.993,-8,-18,7.50,6.34,C,MON,NL,71,60,53,540.1,453,415,35,3,5,.993,-8,-18,-8,7.50,6.34,3,22,81,20,20%,262,MON,4,73,60,73,71,0,71,0,0,0,0,0,0,0,0,0,8,0
Tim Flannery,28,SDP,NL,134,432,368,48,103,11,2,3,28,3,6,54,61,.280,.378,.345,.723,103,127,8,5,3,2,4,4H5/6,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDP,NL,139,95,68,878.1,506,226,275,5,56,.990,-1,-1,5.13,3.60,2B-3B-SS,,,,,,,,,,,,,,,,,,,,,,,264,SDP,8,134,95,134,120,0,0,0,108,23,8,0,0,0,0,0,23,5
Scott Fletcher,27,TEX,AL,147,594,530,82,159,34,5,3,50,12,11,47,59,.300,.360,.400,.760,105,212,10,4,10,3,0,*654/DH,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEX,AL,159,139,110,1227.0,620,216,388,16,93,.974,10,10,4.43,3.80,SS-2B-3B,,,,,,,,,,,,,,,,,,,,,,,265,TEX,6,147,139,147,146,0,0,0,11,12,136,0,0,0,0,1,0,1
Tom Foley,26,TOT,NL,103,299,263,26,70,15,3,1,23,10,3,30,37,.266,.337,.357,.694,92,94,4,0,2,4,6,6H45,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,NL,95,64,47,604.2,313,117,190,6,29,.981,-4,-8,4.57,3.23,SS-2B-3B,,,,,,,,,,,,,,,,,,,,,,,266,2TM,4,103,64,103,88,0,0,0,26,16,54,0,0,0,0,0,27,1
Tom Foley,26,PHI,NL,39,72,61,8,18,2,1,0,5,2,0,10,11,.295,.389,.361,.750,106,22,1,0,0,1,1,6H/45,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,NL,95,64,47,604.2,313,117,190,6,29,.981,-4,-8,4.57,3.23,SS-2B-3B,,,,,,,,,,,,,,,,,,,,,,,266,2TM,4,103,64,103,88,0,0,0,26,16,54,0,0,0,0,0,27,1
Tom Foley,26,MON,NL,64,227,202,18,52,13,2,1,18,8,3,20,26,.257,.320,.356,.676,87,72,3,0,2,3,5,645/H,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOT,NL,95,64,47,604.2,313,117,190,6,29,.981,-4,-8,4.57,3.23,SS-2B-3B,,,,,,,,,,,,,,,,,,,,,,,266,2TM,4,103,64,103,88,0,0,0,26,16,54,0,0,0,0,0,27,1
Ray Fontenot,28,TOT,MLB,43,7,7,1,1,0,0,0,0,0,0,0,6,.143,.143,.143,.286,-23,1,0,0,0,0,0,1,L,MLB,3,5,.375,5.23,57,0,18,0,0,2,72.1,84,49,42,8,25,3,34,2,1,6,322,79,4.39,1.507,10.5,1.0,3.1,4.2,1.36,L,TOT,ZZ,57,0,0,72.1,22,4,13,5,0,.773,,,2.12,0.30,P,,,,,,,,,,,,,,,,,,,,,,,267,2TM,4,57,0,43,57,57,0,0,0,0,0,0,0,0,0,0,0,0
